name,axis_x,axis_y,axis_z,length,breadth,thickness,shape,type
GyeDang_ga_1,35.37129,126.6437,55,310,285,45,rectangular_pentagon,capstone
GyeDang_ga_2,35.37120,126.6436,55,310,285,45,pentagon_rectangle,capstone
GyeDang_na_1,35.3668237,126.6520399,60,230,210,50,elliptic_rectangle,go_board
GyeDang_da_1,35.36527,126.6436,57,350,200,130,irregular_rectangle,capstone
GyeDang_da_2,35.36519,126.6519,57,240,150,75,rectangularly_elongated_isosceles_trapezoid,capstone
GyeDang_da_3,35.36507,126.6520,57,355,210,60,triangle,table
GyeDang_ra_1,35.35815,126.6524,65,612,294,80,irregular_rectangle,go_board
GyeDang_ra_2,35.35815,126.6524,65,430,115,60,irregular_rectangle,capstone
GyeDang_ra_3,35.35815,126.6524,65,380,250,80,triangle,capstone
GyeDang_ra_4,35.35815,126.6524,65,410,265,100,rectangular_triangle,table
GyeDang_ra_5,35.35815,126.6524,65,240,190,60,rhombus,capstone
GyeDang_ra_6,35.35815,126.6524,65,220,145,45,irregular_rectangle,capstone
GyeDang_ra_7,35.35815,126.6524,65,200,200,60,irregular_rectangle,capstone
GyeDang_ra_8,35.35815,126.6524,65,190,90,50,irregular_rectangle,go_board
GyeDang_ra_9,35.35815,126.6524,65,500,142,110,irregular_rectangle,go_board
GyeDang_Sundong_1,35.36248,126.6494,62,340,220,60,irregular_rectangle,capstone
GyeDang_Sundong_2,35.36248,126.6494,62,375,190,75,irregular_rectangle,capstone
GoiChi_1,35.37819,126.6241,59,230,150,60,irregular_rectangle,capstone
GoiChi_2,35.37819,126.6241,59,210,105,45,irregular_rectangle,capstone
GoiChi_3,35.37819,126.6241,63,190,155,50,irregular_triangle,capstone
GoiChi_4,35.37819,126.6241,65,175,145,40,irregular_triangle,capstone
GoiChi_5,35.37814,126.6246,65,160,80,55,irregular_triangle,capstone	
GoiChi_6,35.37819,126.6241,67,150,105,45,irregular_rectangle,capstone
GoiChi_7,35.37819,126.6241,67,190,130,20,irregular_rectangle,capstone
GoiChi_8,35.37819,126.6241,67,170,80,55,irregular_rectangle,capstone
GoiChi_9,35.37819,126.6247,68,250,160,55,irregular_rectangle,capstone
GoiChi_10,35.37757,126.6230,68,240,115,66,irregular_rectangle,capstone
MuSong_ga_1,35.3483,126.6346,51,235,185,95,rectangular_rhombus,go_board
MuSong_ga_2,35.3483,126.6346,51,135,160,75,irregular_rectangle,capstone
MuSong_ga_3,35.34816,126.6346,51,240,150,60,irregular_triangle,capstone	
MuSong_ga_4,35.34817,126.6350,51,280,270,70,irregular_circle,capstone
MuSong_SongSan_1,35.34470,126.6382,58,250,200,100,rectangular_ellipse,capstone
MuSong_SongSan_2,35.34466,126.6379,58,220,180,60,rectangular_triangle,unidentified
SaNae_ga_1,35.38587668,126.64063477,53,270,220,70,irregular_rectangle,capstone
SaNae_ga_2,35.38594488,126.64063396,53,260,160,95,irregular_ellipse,capstone
SaNae_ga_3,35.38579793,126.64054463,53,320,210,50,irregular_rectangle,capstone
SaNae_na_1,35.38959,126.6536,54,295,170,40,ellipse,capstone
SaNae_na_2,35.3895931,126.6535586,54,410,160,40,ellipse,capstone
SaNae_na_3,35.387173,126.652645,59,280,240,65,rhombic_rectangle,go_board
SaNae_na_4,35.387193,126.651921,63,180,120,40,ellipse,capstone
SaNae_da_1,35.38770,126.6361,50,300,125,40,elliptic_rectangle,capstone
SaNae_da_2,35.388051,126.636439,50,170,120,44,half_circle_square,capstone
SaNae_da_3,35.38587668,126.64063477,48,195,135,55,rectangle,capstone
SaNae_da_4,35.38799,126.6362,50,240,200,45,triangle,capstone
SaNae_da_5,35.38787,126.6360,50,110,90,50,irregular_triangle,unidentified
SaNae_da_6,35.38768,126.6354,48,120,120,60,irregular_triangle,unidentified
SanSoo_ga_1,35.34689,126.6118,54,180,165,130,irregular_ellipsoid,capstone
SanSoo_na_1,35.34324,126.6137,57,200,130,30,irregular_rhombus,capstone
SanSoo_na_2,35.34313,126.6137,58,250,125,75,irregular_rectangle,capstone
SanSoo_na_3,35.34311,126.6138,58,250,150,80,irregular_long_rhombus,capstone
SanSoo_da,35.34098,126.6147,54,590,270,100,irregular_rectangle,go_board
AmChi_ga_1,35.35745,126.6417,70,200,90,30,irregular_rectangle,capstone
AmChi_ga_2,35.35751,126.6417,70,230,90,60,irregular_rectangle,capstone
AmChi_ga_3,35.35747,126.6418,70,375,200,50,irregular_rhombus,capstone
AmChi_ga_4,35.35737,126.6419,70,210,140,55,irregular_square,capstone
AmChi_ga_5,35.35742,126.6417,70,110,60,40,rectangular_square,capstone
AmChi_na_1,35.35780,126.6371,63,240,180,170,square_ellipse,capstone
AmChi_da_1,35.35414,126.6345,41,250,110,105,square_rectangle,capstone
AmChi_da_2,35.35412,126.6345,41,370,110,50,rectangle,capstone
AmChi_ra_1,35.35372,126.6468,67,370,170,50,rectangle,table
AmChi_ra_2,35.35364,126.6469,69,250,180,80,rectangular_pentagon,table
AmChi_ra_3,35.35370,126.6469,69,260,200,90,rectangle,capstone
AmChi_ra_4,35.35379,126.6469,69,370,200,220,rectangular_rhombus,table
AmChi_ra_5,35.35367,126.6470,69,260,160,160,rectangular_ellipse,capstone
AmChi_ba_1,35.34787,126.6502,90,350,160,250,rectangle,capstone
AmChi_ba_2,35.34777,126.6501,89,200,130,40,irregular_rectangle,capstone
AmChi_ba_3,35.34779,126.6501,89,250,180,60,rectangular_triangle,capstone
AmChi_ba_4,35.34779,126.6501,89,240,160,90,rectangular_triangle,capstone
AmChi_ba_5,35.34813,126.6495,81,360,260,180,rectangle,capstone
AmChi_ba_6,35.34809,126.6495,81,220,140,50,rectangular_ellipse,capstone
AmChi_sa_1,35.34763,126.6476,72,570,140,160,irregular_rectangle,go_board
AmChi_sa_2,35.34752,126.6476,72,430,350,90,irregular_rectangle,go_board
AmChi_a_1,35.34452,126.6489,105,768,504,180,rectangular_half_circle,go_board
AmChi_a_2,35.34452,126.6489,105,150,124,36,rectangle,capstone
AmChi_a_3,35.34452,126.6489,105,281,189,112,rectangle,capstone
AmChi_a_4,35.34452,126.6489,105,182,80,104,rectangle,capstone
AmChi_a_5,35.34452,126.6489,105,224,105,122,rectangle,capstone
AmChi_a_6,35.34452,126.6489,105,190,170,70,square,capstone
AmChi_a_7,35.34452,126.6489,105,202,130,50,rectangle,capstone
AmChi_a_8,35.34452,126.6489,105,340,200,152,rectangle,capstone
AmChi_a_9,35.34452,126.6489,105,220,150,110,rectangle,capstone
AmChi_a_10,35.34452,126.6489,105,255,110,110,rectangle,capstone
AmChi_a_11,35.34452,126.6489,105,155,145,80,rectangle,capstone
AmChi_a_12,35.34452,126.6489,105,320,195,60,rectangle,capstone
AmChi_a_13,35.34452,126.6489,105,340,215,160,rectangle,capstone
AmChi_ja,35.35515,126.6457,58,270,130,50,rectangular_ellipse,capstone
AmChi_cha,35.33921,126.6526,110,250,135,85,rectangle,go_board
PanJung_ga_1,35.37025,126.6302,65,315,265,110,rectangle,go_board
PanJung_ga_2,35.37025,126.6303,63,340,310,100,rectangle,go_board
PanJung_ga_3,35.37025,126.6302,65,170,110,40,rectangle,capstone
PanJung_ga_4,35.37025,126.6302,65,210,100,70,rectangle,capstone
PanJung_ga_6,35.37014,126.6306,65,460,240,115,rectangle,go_board
PanJung_ga_7,35.37025,126.6302,65,350,270,100,rectangle,go_board
PanJung_ga_8,35.37015,126.6305,65,180,80,50,rectangle,capstone
PanJung_ga_9,35.37012,126.6304,63,490,190,80,rectangle,go_board
PanJung_ga_10,35.37020,126.6306,63,120,80,50,rectangle,go_board
PanJung_ga_11,35.37017,126.6306,66,370,120,56,irregular_rectangle,go_board
PanJung_ga_12,35.37025,126.6303,63,340,310,100,rectangle,go_board
PanJung_na_1,35.36439,126.6418,65,230,160,60,rectangle,unidentified
PanJung_na_2,35.36439,126.6418,65,230,210,35,rectangle,go_board
PanJung_na_3,35.36436,126.6419,65,320,310,90,square_rhombus,go_board
PanJung_na_4,35.36430,126.6418,65,295,200,65,rectangle,go_board
PanJung_na_5,35.36423,126.6419,65,275,230,45,irregular_ellipse,capstone
PanJung_na_6,35.36409,126.6421,65,330,170,55,irregular_rectangle,capstone
PanJung_da_1,35.36118,126.6346,65,210,140,95,irregular_ellipse,capstone
